district_name,parish_name,village_name,group_name,group_enterprise,farmer_id,farmer_name,gender,age,category,handicapped,nationality,pdc_village_verification,pdc_enterprise_verification_individual,pdc_enterprise_verification,group_pdc_village_ok,group_has_non_ugandan,pdc_group_approved,conforms_to_rule,group_funded_by_pdm,fund_amount_received,total_amount_due,repayment_type,Q1_payment,Q2_payment,Q3_payment,Q4_payment,total_repaid,outstanding_balance,repayment_time_months,repayment_rate,disqualification_reason
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000011,Jane Mugisha,Female,55,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000012,Lilian Tumusiime,Female,42,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000013,Aisha Mugisha,Female,49,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000014,Nabirye Kibedi,Female,31,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000015,Peter Byaruhanga,Male,20,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000016,John Mugisha,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000017,Esther Tumusiime,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000018,Diana Tumusiime,Female,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000019,Paul Mugisha,Male,62,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000020,Diana Namukasa,Female,64,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000021,Samuel Otim,Male,26,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_1,Group_01_1_02,beans,CAV-000022,Christine Tumusiime,Female,58,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_not_verified_by_pdc
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000023,Nabirye Kakande,Female,34,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000024,Nabirye Okello,Female,42,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000025,Ruth Otim,Female,38,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000026,Christine Byaruhanga,Female,49,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000027,John Nabukenya,Male,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000028,Samuel Nabukenya,Male,21,Youth,No,South Sudanese,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000029,Ruth Namusoke,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000030,Ruth Ssali,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000031,Daniel Muwanga,Male,67,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000032,Mercy Nabukenya,Female,61,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000033,Michael Mugisha,Male,49,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_01,fishing,CAV-000034,Christine Byaruhanga,Female,26,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000035,Esther Kibedi,Female,41,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000036,Florence Ssembatya,Female,32,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000037,Joy Kato,Female,31,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000038,Rebecca Mugisha,Female,57,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000039,David Okello,Male,24,Youth,No,Rwandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000040,Henry Kakande,Male,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000041,Lilian Kakande,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000042,Grace Muwanga,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000043,Daniel Kibedi,Male,68,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_02,piggery,CAV-000044,Grace Tumusiime,Female,61,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000045,James Tumusiime,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000046,Alice Otim,Female,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000047,William Tumusiime,Male,65,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000048,Florence Byaruhanga,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000049,Diana Byaruhanga,Female,32,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000050,Alice Otim,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000051,Paul Muwanga,Male,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000052,Christine Ssembatya,Female,42,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000053,William Kato,Male,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_03,cassava farming,CAV-000054,Grace Kato,Female,47,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,No,No,0,0,,0,0,0,0,0,0,0,0.0,enterprise_new_or_not_existing
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000055,Lilian Otim,Female,35,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000056,Nabirye Okello,Female,53,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000057,Diana Katende,Female,39,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000058,Florence Tumusiime,Female,52,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000059,William Okello,Male,20,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000060,Henry Otim,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000061,Esther Okello,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000062,Ruth Nabukenya,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Defaulted,265000,265000,0,0,530000,530000,12,0.5,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000063,James Kato,Male,70,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000064,Florence Ssali,Female,65,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000065,Mark Kato,Male,27,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_2,Group_01_2_04,Mixed,CAV-000066,Esther Kato,Female,26,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000067,Jane Kibedi,Female,54,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000068,Florence Otim,Female,36,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000069,Christine Byaruhanga,Female,23,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000070,James Byaruhanga,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000071,Grace Kato,Female,41,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000072,Florence Namusoke,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000073,James Namukasa,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000074,Christine Namukasa,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000075,John Kakande,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Defaulted,265000,265000,0,0,530000,530000,12,0.5,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000076,Lilian Tumusiime,Female,55,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000077,Joy Namusoke,Female,55,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_01,fishing,CAV-000078,Nabirye Tumusiime,Female,69,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000079,Jane Kibedi,Female,42,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000080,Esther Kakande,Female,59,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000081,Jane Namusoke,Female,44,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000082,Diana Tumusiime,Female,31,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000083,Robert Okello,Male,21,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000084,Samuel Kibedi,Male,24,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000085,Mercy Otim,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000086,Mercy Kibedi,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000087,Michael Ssembatya,Male,66,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000088,Florence Muwanga,Female,63,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000089,Isaac Kato,Male,44,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_02,piggery,CAV-000090,Mercy Namukasa,Female,30,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000091,Rebecca Ssembatya,Female,55,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000092,Sarah Nabukenya,Female,55,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000093,Mercy Ssali,Female,52,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000094,Grace Namukasa,Female,29,Women,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000095,Patrick Namusoke,Male,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000096,James Ssembatya,Male,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000097,Jane Byaruhanga,Female,19,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000098,Lilian Ssali,Female,23,Youth,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000099,Robert Namukasa,Male,61,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000100,Esther Namusoke,Female,69,Elderly,No,Rwandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000101,Michael Mugisha,Male,65,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_03,fishing,CAV-000102,Joy Byaruhanga,Female,35,Disabled,Yes,Ugandan,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,group_has_non_ugandan_member
Cavendish District,Parish_01,Village_01_3,Group_01_3_04,cassava farming,CAV-000103,Sarah Tumusiime,Female,53,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,No,Yes,No,0,0,,0,0,0,0,0,0,0,0.0,policy_limit_one_group_per_village
